"WptName","GR(6)","Hill Name","Height","GridZN","GridEast","GridNorth","Latitude","Longitude","Climbed?"
"0936.m","NN660775","A' Bhuidheanach Bheag"," 936.0","NN","66059","77594","56.87034200","-4.1990010",""
"0997.M","NH136714","A' Chailleach"," 997.0","NH","13621","71416","57.69380000","-5.1287150",""
"0929.m","NH681041","A' Chailleach"," 929.2","NH","68110","04178","57.10956400","-4.1792850",""
"1120.M","NH094147","A' Chraileag (A' Chralaig)","1120.0","NH","09431","14791","57.18418600","-5.1548370",""
"0918.M","NH008231","A' Ghlas-bheinn"," 918.0","NH","00822","23105","57.25509000","-5.3036870",""
"0967.M","NH007749","A' Mhaighdean"," 967.0","NH","00776","74912","57.71964400","-5.3467200",""
"0973.m","NN604762","A' Mharconaich"," 973.2","NN","60423","76293","56.85700200","-4.2906680",""
"0934.m","NG465253","Am Basteir"," 934.0","NG","46563","25301","57.24793100","-6.2029820",""
"1032.M","NN176650","Am Bodach","1031.8","NN","17637","65097","56.74172700","-4.9833930",""
"0953.M","NH303793","Am Faochagach"," 953.0","NH","30361","79372","57.77180100","-4.8538990",""
"0996.M","NN378193","An Caisteal"," 995.8","NN","37873","19343","56.33860000","-4.6243680",""
"0924.m","NH241680","An Coileachan"," 923.9","NH","24172","68024","57.66762500","-4.9494980",""
"0981.M","NN187669","An Gearanach"," 981.4","NN","18772","66989","56.75914300","-4.9662030",""
"1129.M","NH133344","An Riabhachan","1129.0","NH","13363","34482","57.36242900","-5.1047280",""
"1007.M","NN933836","An Sgarsoch","1006.5","NN","93339","83685","56.93210900","-3.7542940",""
"1069.M","NH100332","An Socach","1069.0","NH","10061","33274","57.35022900","-5.1586030",""
"0944.M","NO079800","An Socach"," 944.0","NO","07939","80015","56.90228600","-3.5131480",""
"0921.m","NH088229","An Socach"," 921.0","NH","08817","22997","57.25753300","-5.1712930",""
"1117.m","NN638431","An Stuc","1117.1","NN","63890","43103","56.56009300","-4.2162580",""
"1063.M","NH068843","An Teallach-Bidein a' Ghlas Thuill","1062.5","NH","06896","84366","57.80709800","-5.2517670",""
"1059.m","NH064836","An Teallach-Sgurr Fiona","1058.6","NH","06406","83679","57.80072600","-5.2594430",""
"1020.M","NH051083","Aonach air Chrith","1019.5","NH","05103","08354","57.12464000","-5.2212910",""
"1234.M","NN197715","Aonach Beag","1234.0","NN","19707","71502","56.79999800","-4.9541210",""
"1116.m","NN457741","Aonach Beag","1115.8","NN","45786","74190","56.83349600","-4.5291810",""
"0952.m","NN161583","Aonach Eagach-Meall Dearg"," 952.2","NN","16124","58363","56.68072000","-5.0032710",""
"0968.M","NN140583","Aonach Eagach-Sgorr nam Fiannaidh"," 967.7","NN","14044","58304","56.67936900","-5.0371250",""
"1001.M","NH048137","Aonach Meadhoin","1001.0","NH","04885","13766","57.17308200","-5.2291210",""
"1221.m","NN193729","Aonach Mor","1221.0","NN","19304","72961","56.81293200","-4.9617440",""
"1024.M","NN056558","Beinn a' Bheithir-Sgorr Dhearg","1024.0","NN","05684","55846","56.65392100","-5.1715100",""
"1001.M","NN040555","Beinn a' Bheithir-Sgorr Dhonuill","1001.0","NN","04058","55540","56.65049900","-5.1977570",""
"1197.M","NJ092006","Beinn a' Bhuird (Beinn a' Bhuird North Top)","1197.0","NJ","09231","00621","57.08759000","-3.4993660",""
"1083.M","NJ045013","Beinn a' Chaorainn","1083.0","NJ","04515","01361","57.09328100","-3.5774340",""
"1052.M","NN386850","Beinn a' Chaorainn","1052.0","NN","38606","85063","56.92863400","-4.6536280",""
"1087.M","NN471781","Beinn a' Chlachair","1087.0","NN","47122","78155","56.86952500","-4.5096840",""
"0916.m","NN250256","Beinn a' Chleibh"," 916.3","NN","25054","25606","56.39023100","-4.8356320",""
"0980.M","NN109328","Beinn a' Chochuill"," 980.0","NN","10978","32848","56.44978100","-5.0685360",""
"1081.M","NN373440","Beinn a' Chreachain","1080.6","NN","37387","44075","56.56038200","-4.6476180",""
"0941.m","NN387185","Beinn a' Chroin"," 941.4","NN","38755","18573","56.33198700","-4.6096380",""
"1070.M","NN945724","Beinn a' Ghlo-Braigh Coire Chruinn-bhalgain","1070.0","NN","94563","72403","56.83108300","-3.7295050",""
"0976.M","NN936698","Beinn a' Ghlo-Carn Liath"," 976.0","NN","93606","69831","56.80777000","-3.7441060",""
"1122.M","NN971733","Beinn a' Ghlo-Carn nan Gabhar","1121.9","NN","97119","73309","56.83979200","-3.6880040",""
"1039.M","NN344432","Beinn Achaladair","1038.5","NN","34468","43242","56.55188700","-4.6945250",""
"0986.M","NG865612","Beinn Alligin-Sgurr Mhor"," 986.0","NG","86565","61270","57.59082000","-5.5727640",""
"0922.M","NG859601","Beinn Alligin-Tom na Gruagaich"," 922.0","NG","85958","60153","57.58051900","-5.5819120",""
"1004.M","NN331408","Beinn an Dothaidh","1004.0","NN","33178","40868","56.53013000","-4.7139640",""
"1019.M","NN517717","Beinn Bheoil","1019.0","NN","51716","71722","56.81327600","-4.4306620",""
"0931.m","NO058970","Beinn Bhreac"," 931.0","NO","05870","97075","57.05507200","-3.5534720",""
"1157.M","NN954922","Beinn Bhrotain","1157.0","NN","95413","92292","57.00986800","-3.7237970",""
"0949.M","NN203187","Beinn Bhuidhe"," 948.5","NN","20368","18717","56.32666200","-4.9067220",""
"0932.M","NN367179","Beinn Chabhair"," 932.1","NN","36760","17957","56.32577500","-4.6414850",""
"1084.M","NH259811","Beinn Dearg","1084.0","NH","25933","81183","57.78635000","-4.9295570",""
"1009.M","NN852778","Beinn Dearg","1008.7","NN","85296","77800","56.87734600","-3.8837190",""
"1076.M","NN325378","Beinn Dorain","1076.0","NN","32554","37855","56.50287000","-4.7221570",""
"0978.M","NN307254","Beinn Dubhchraig"," 978.0","NN","30763","25493","56.39129500","-4.7431930",""
"1103.m","NN449733","Beinn Eibhinn","1103.2","NN","44965","73302","56.82525400","-4.5420820",""
"1010.M","NG951611","Beinn Eighe-Ruadh-stac Mor","1010.0","NG","95142","61152","57.59373500","-5.4294540",""
"0993.M","NG966597","Beinn Eighe-Spidean Coire nan Clach"," 993.0","NG","96615","59780","57.58209800","-5.4037060",""
"0989.M","NN135327","Beinn Eunaich"," 989.0","NN","13562","32797","56.45035200","-5.0266390",""
"1032.M","NH018192","Beinn Fhada","1032.0","NH","01855","19253","57.22099300","-5.2835180",""
"1005.M","NH115282","Beinn Fhionnlaidh","1004.7","NH","11560","28271","57.30597700","-5.1299090",""
"0959.M","NN095497","Beinn Fhionnlaidh"," 959.0","NN","09509","49769","56.60097900","-5.1047330",""
"1103.m","NN625404","Beinn Ghlas","1103.0","NN","62530","40463","56.53599600","-4.2369760",""
"1011.M","NN254084","Beinn Ime","1011.0","NN","25496","08490","56.23681200","-4.8171420",""
"1045.M","NO045792","Beinn Iutharn Mhor","1045.0","NO","04566","79279","56.89499400","-3.5682290",""
"0926.M","NG964519","Beinn Liath Mhor"," 926.0","NG","96409","51981","57.51207400","-5.4006170",""
"0954.m","NH219724","Beinn Liath Mhor Fannaich"," 954.0","NH","21960","72411","57.70610400","-4.9897760",""
"0953.M","NN373411","Beinn Mhanach"," 953.0","NN","37370","41140","56.53404000","-4.6460590",""
"1183.M","NJ024016","Beinn Mheadhoin","1182.9","NJ","02460","01695","57.09584900","-3.6114640",""
"0935.M","NN376695","Beinn na Lap"," 935.0","NN","37616","69585","56.78939000","-4.6599940",""
"0960.M","NN148405","Beinn nan Aighenan"," 960.0","NN","14851","40528","56.52022100","-5.0112490",""
"0927.M","NN271066","Beinn Narnain"," 927.0","NN","27168","06655","56.22095600","-4.7890030",""
"0974.M","NG835126","Beinn Sgritheall"," 974.0","NG","83588","12682","57.15381600","-5.5797110",""
"0937.M","NN053460","Beinn Sgulaird"," 937.0","NN","05303","46088","56.56623200","-5.1703650",""
"1077.M","NN413383","Beinn Sheasgarnaich (Beinn Heasgarnich)","1077.4","NN","41380","38339","56.51027200","-4.5792180",""
"0937.M","NH039727","Beinn Tarsuinn"," 937.0","NH","03962","72794","57.70205200","-5.2916010",""
"0915.M","NN361859","Beinn Teallach"," 914.6","NN","36136","85973","56.93592800","-4.6947570",""
"0946.m","NN416196","Beinn Tulaichean"," 945.8","NN","41660","19604","56.34221600","-4.5633300",""
"1010.M","NN579739","Beinn Udlamain","1010.2","NN","57945","73975","56.83544400","-4.3299760",""
"1148.M","NN496718","Ben Alder","1148.0","NN","49616","71855","56.81379600","-4.4650890",""
"1171.M","NJ131018","Ben Avon-Leabaidh an Daimh Bhuidhe","1171.0","NJ","13194","01845","57.09934700","-3.4344220",""
"1025.M","NN386322","Ben Challum (Beinn Challuim)","1025.0","NN","38685","32235","56.45457300","-4.6191840",""
"0931.M","NN773308","Ben Chonzie"," 931.0","NN","77324","30857","56.45385100","-3.9920570",""
"1127.M","NN069304","Ben Cruachan","1127.0","NN","06962","30472","56.42683900","-5.1318280",""
"0927.M","NC477501","Ben Hope"," 927.0","NC","47750","50151","58.41311300","-4.6078600",""
"0962.M","NC585299","Ben Klibreck-Meall nan Con"," 962.1","NC","58530","29921","58.23520200","-4.4111300",""
"1214.M","NN635414","Ben Lawers","1214.0","NN","63553","41424","56.54492200","-4.2208600",""
"0974.M","NN367028","Ben Lomond"," 974.0","NN","36707","02863","56.19029300","-4.6330090",""
"1130.M","NN266262","Ben Lui (Beinn Laoigh)","1130.0","NN","26634","26288","56.39693200","-4.8105200",""
"1309.M","NN988989","Ben Macdui (Beinn Macduibh)","1309.0","NN","98899","98943","57.07036800","-3.6690990",""
"1174.M","NN432244","Ben More","1174.0","NN","43276","24417","56.38595200","-4.5400870",""
"0966.M","NM525330","Ben More"," 966.0","NM","52576","33078","56.42482900","-6.0140150",""
"0998.M","NC318201","Ben More Assynt"," 998.0","NC","31830","20150","58.13816400","-4.8582080",""
"1345.M","NN166712","Ben Nevis","1344.5","NN","16666","71288","56.79689100","-5.0036750",""
"1029.M","NN287253","Ben Oss","1029.0","NN","28761","25348","56.38927200","-4.7754880",""
"1078.M","NN125427","Ben Starav","1078.0","NN","12573","42709","56.53887600","-5.0497930",""
"0916.M","NN277098","Ben Vane"," 915.8","NN","27754","09844","56.24978600","-4.7816390",""
"0985.M","NN629189","Ben Vorlich"," 985.0","NN","62911","18916","56.34268000","-4.2194640",""
"0943.M","NN295124","Ben Vorlich"," 943.0","NN","29509","12474","56.27402100","-4.7550460",""
"1046.M","NH462683","Ben Wyvis-Glas Leathad Mor","1046.0","NH","46296","68379","57.67891400","-4.5792660",""
"1149.M","NN143542","Bidean nam Bian","1149.4","NN","14341","54211","56.64276800","-5.0293350",""
"0945.M","NH049412","Bidein a' Choire Sheasgaich"," 945.0","NH","04906","41265","57.41971800","-5.2504730",""
"0943.M","NN221677","Binnein Beag"," 943.0","NN","22172","67712","56.76694200","-4.9111760",""
"1130.M","NN212663","Binnein Mor","1130.0","NN","21219","66351","56.75436700","-4.9257950",""
"0929.M","NG529217","Bla Bheinn (Blabheinn) (Blaven)"," 929.0","NG","52990","21743","57.21956500","-6.0932100",""
"1296.M","NN953999","Braeriach","1296.0","NN","95327","99915","57.07829800","-3.7283890",""
"0998.m","NO240815","Broad Cairn"," 998.0","NO","24057","81568","56.91915700","-3.2490660",""
"0958.m","NG460252","Bruach na Frithe"," 958.0","NG","46084","25200","57.24676100","-6.2107950",""
"0925.M","NN191548","Buachaille Etive Beag-Stob Coire Raineach"," 925.0","NN","19135","54800","56.64992900","-4.9516850",""
"0958.M","NN179535","Buachaille Etive Beag-Stob Dubh"," 958.0","NN","17909","53541","56.63815800","-4.9707630",""
"1021.M","NN222542","Buachaille Etive Mor-Stob Dearg","1021.4","NN","22265","54254","56.64622900","-4.9003360",""
"0953.m","NN190525","Buachaille Etive Mor-Stob na Broige"," 953.4","NN","19072","52568","56.62988000","-4.9511510",""
"1090.M","NJ041063","Bynack More","1090.0","NJ","04190","06373","57.13822000","-3.5847160",""
"1012.m","NO222825","Cairn Bannoch","1012.0","NO","22288","82555","56.92772800","-3.2784030",""
"1245.m","NJ005040","Cairn Gorm","1244.8","NJ","00516","04065","57.11671400","-3.6444770",""
"1064.m","NO185788","Cairn of Claise","1064.0","NO","18549","78890","56.89417000","-3.3386370",""
"1291.M","NN963972","Cairn Toul","1291.0","NN","96328","97228","57.05439700","-3.7107730",""
"0964.M","NN915758","Carn a' Chlamain"," 963.5","NN","91591","75807","56.86096800","-3.7796290",""
"1110.m","NO226845","Carn a' Choire Bhoidheach","1109.9","NO","22673","84557","56.94577300","-3.2727070",""
"0975.M","NO107767","Carn a' Gheoidh"," 975.0","NO","10703","76700","56.87306500","-3.4666160",""
"1037.M","NN994951","Carn a' Mhaim","1037.0","NN","99457","95199","57.03687100","-3.6584000",""
"0994.M","NN904841","Carn an Fhidhleir (Carn Ealar)"," 994.1","NN","90467","84179","56.93587400","-3.8016750",""
"1029.M","NO028772","Carn an Righ","1029.0","NO","02871","77267","56.87657400","-3.5952720",""
"1047.m","NO208842","Carn an t-Sagairt Mor","1047.0","NO","20810","84280","56.94297300","-3.3032270",""
"1019.m","NO174804","Carn an Tuirc","1019.0","NO","17453","80483","56.90828200","-3.3571420",""
"0915.m","NO133791","Carn Aosda"," 915.3","NO","13397","79164","56.89569600","-3.4232740",""
"0945.M","NO051832","Carn Bhac"," 945.1","NO","05104","83225","56.93054100","-3.5608800",""
"1034.M","NN504764","Carn Dearg","1034.0","NN","50416","76444","56.85524200","-4.4546930",""
"0946.M","NH635023","Carn Dearg"," 945.7","NH","63568","02398","57.09226100","-4.2532460",""
"0941.M","NN417661","Carn Dearg"," 941.0","NN","41773","66143","56.75993100","-4.5898880",""
"1183.M","NH123261","Carn Eige (Carn Eighe)","1182.8","NH","12355","26197","57.28770100","-5.1151590",""
"0957.m","NH145125","Carn Ghluasaid"," 957.0","NH","14576","12522","57.16595000","-5.0681580",""
"1029.M","NN635500","Carn Gorm","1029.0","NN","63513","50078","56.62259900","-4.2260730",""
"1006.m","NN472903","Carn Liath","1006.0","NN","47227","90326","56.97878400","-4.5153050",""
"1042.M","NN684512","Carn Mairg","1042.0","NN","68491","51258","56.63461700","-4.1456070",""
"1220.M","NN177721","Carn Mor Dearg","1220.0","NN","17748","72172","56.80524600","-4.9866160",""
"0941.M","NN677821","Carn na Caim"," 940.8","NN","67700","82153","56.91173900","-4.1744780",""
"0993.M","NH181343","Carn nan Gobhar"," 993.0","NH","18188","34362","57.36330400","-5.0245440",""
"0992.m","NH273438","Carn nan Gobhar"," 992.0","NH","27303","43890","57.45233100","-4.8799350",""
"0920.m","NH683058","Carn Sgulain"," 920.3","NH","68302","05821","57.12437100","-4.1769860",""
